,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
111,111,527574,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,146,86,92.0,106.0,-0.0035183244790798,4.987124946187416,OK,1,0,0,0
112,112,527575,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,154,81,92.0,99.0,-0.0048553049700993,5.0418079073837285,OK,1,0,0,0
113,113,135198,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,79,87,129.0,109.0,0.0025148439825165,4.366933008484505,shunt,0,0,0,1
114,114,135206,9.5,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,76,87,193.0,116.0,0.0022023794313543,4.328530960854977,shunt,0,0,0,1
115,115,235646,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,87,86,28.0,87.0,0.0,4.465908118654584,OK,1,0,0,0
116,116,527565,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,159,80,78.0,102.0,-0.005765342713454,5.074669544933686,OK,1,0,0,0
117,117,527566,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,143,79,98.0,104.0,-0.0032830281558611,4.966127658415768,OK,1,0,0,0
118,118,527569,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,134,84,62.0,97.0,-0.0052971937942217,4.903136993745133,OK,1,0,0,0
119,119,527567,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,140,82,117.0,101.0,-0.0028148440152417,4.944457266624545,OK,1,0,0,0
120,120,527276,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,152,85,60.0,105.0,-0.0062698334015042,5.03015035424778,OK,1,0,0,0
121,121,527283,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,168,105,84.0,117.0,-0.0043589162000662,5.128322895603325,OK,1,0,0,0
122,122,527281,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,148,74,168.0,88.0,-0.0031130267023108,5.000325300466425,OK,1,0,0,0
123,123,527570,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,173,88,113.0,112.0,-0.0038820778857382,5.157173672383518,OK,1,0,0,0
124,124,527573,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,150,97,97.0,117.0,-0.0025881391593593,5.013223433255615,OK,1,0,0,0
125,125,527279,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,158,81,108.0,112.0,-0.0032158519788025,5.065810885005769,OK,1,0,0,0
126,126,527277,7.9,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,148,80,104.0,120.0,-0.00203612166002,4.999248395424135,OK,1,0,0,0
127,127,527282,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,137,81,70.0,90.0,-0.0060894384854762,4.926070364313602,OK,1,0,0,0
128,128,527284,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,142,70,116.0,104.0,-0.0027081405083468,4.958535198109607,OK,1,0,0,0
129,129,527285,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,143,74,85.0,103.0,-0.0039061385955984,4.966750768855506,OK,1,0,0,0
130,130,527286,8.4,2.0,0.7 + 1.2 + 0,0.7,1.2,0.0,158,70,105.0,99.0,-0.0044949536816574,5.067089986708624,OK,1,0,0,0
131,131,127131,8.4,2.0,0.7 + 1.5 + 0,0.7,1.5,0.0,108,124,26.0,110.0,0.0007339655467278,4.681397261577492,OK,1,0,0,0
132,132,127140,8.4,2.4,0.7 + 1.5 + 0,0.7,1.5,0.0,75,74,110.0,98.0,0.0024539391296721,4.315034174406638,OK,1,0,0,0
133,133,527713,8.4,2.0,0.7 + 1.5 + 0,0.7,1.5,0.0,228,99,89.0,94.0,-0.010068759621414,5.439414388575855,OK,1,0,0,0
134,134,170038,8.25,2.4,0.7 + 0.8 + 1.5,0.7,0.8,1.5,55,68,85.0,118.0,0.0090875171337284,3.998245668098743,OK,1,0,0,0
135,135,527262,9.45,2.0,0.7 + 1.6 + 0,0.7,1.6,0.0,51,52,76.0,70.0,0.0042222614576671,3.9276033712666583,OK,1,0,0,0
136,136,527711,8.4,2.0,0.7 + 1.6 + 0,0.7,1.6,0.0,135,88,67.0,90.0,-0.0061434107289115,4.911418189167342,OK,1,0,0,0
137,137,527235,9.5,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,64,65,52.0,76.0,0.0033696128809148,4.155513470478756,shunt,0,0,0,1
138,138,527562,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,150,136,26.0,138.0,-0.003335264357562,5.013970558453818,OK,1,0,0,0
139,139,129162,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,199,155,36.0,161.0,-0.0060542988497151,5.299359123574208,OK,1,0,0,0
140,140,527232,10.0,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,79,79,78.0,82.0,0.0004840440882757,4.368963808378746,shunt,0,0,0,1
141,141,527233,9.5,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,182,114,33.0,109.0,-0.0160205876514891,5.2200272747282845,OK,1,0,0,0
142,142,527563,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,152,139,26.0,131.0,-0.005947327905805,5.029827848752081,OK,1,0,0,0
143,143,527578,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,144,110,100.0,108.0,-0.0029058795197149,4.972719179095716,OK,1,0,0,0
144,144,527577,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,148,115,26.0,117.0,-0.0094015335586543,5.006613807322769,OK,1,0,0,0
145,145,527579,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,146,129,26.0,133.0,-0.0037302997394633,4.9873369214478,OK,1,0,0,0
146,146,527561,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,152,126,26.0,128.0,-0.0068740102770663,5.030754531123343,OK,1,0,0,0
147,147,527564,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,158,115,26.0,113.0,-0.013408288572585,5.076003321599552,OK,1,0,0,0
148,148,527294,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,156,101,104.0,133.0,-0.0015486104759978,5.051404617725535,OK,1,0,0,0
149,149,527289,8.4,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,154,105,69.0,122.0,-0.0034254640835348,5.040378066497165,OK,1,0,0,0
150,150,527702,9.0,2.0,0.7 + 1.8 + 0,0.7,1.8,0.0,152,97,77.0,87.0,-0.0073417421341012,5.031222262980378,OK,1,0,0,0
